,my_mean,my_std
Staphylococcus,5.461538461538462,2.846500325410855
Candida,6.6923076923076925,4.190954851117173
Corynebacterium,8.538461538461538,3.1521258597805764
Klebsiella,8.615384615384615,4.610467466148119
Enterococcus,8.666666666666666,4.396968652757639
Cladosporium,9.307692307692308,6.421119001448986
Alternaria,9.923076923076923,9.268778582437731
Malassezia,10.384615384615385,5.485411888795917
Escherichia-Shigella,12.153846153846153,7.904072303209212
Streptococcus,12.615384615384615,7.124353321980196
Propionibacterium,13.833333333333334,8.504900548115382
Enterobacter,13.88888888888889,12.474418267442818
Filobasidium,14.076923076923077,9.508430806934255
Aureobasidium,15.692307692307692,10.233805217550763
Veillonella,17.727272727272727,10.937009729271608
Clostridium sensu stricto 1,19.25,11.45842286466399
Kluyveromyces,20.666666666666668,6.800735254367722
Bifidobacterium,22.666666666666668,10.111874208078342
