Unnamed: 0,Alternaria,Aureobasidium,Bifidobacterium,Candida,Cladosporium,Clostridium_sensu_stricto_1,Corynebacterium,Enterobacter,Enterococcus,Escherichia_Shigella,Filobasidium,Klebsiella,Kluyveromyces,Malassezia,Propionibacterium,Staphylococcus,Streptococcus,Veillonella
Alternaria,0.0,0.0,-0.014958987708915182,0.0,0.0,0.0,-0.012183471069629965,0.014931632621294716,0.02787163980675497,0.0,0.0,-0.0114824487745211,0.0,0.0,0.02934422867930665,0.0,-0.018148149116093658,-0.01937901916216041
Aureobasidium,0.0,0.0,0.0,-0.01470588466249759,-0.06830519825199652,-0.011528290864219356,0.12152535323417893,-0.055871665361252036,0.021987259821704155,0.0,-0.011497601055419984,0.12419093817291033,-0.12830768374208346,0.03725623062620905,-0.025068167589530625,0.0,0.0,-0.01298906484103765
Bifidobacterium,0.03654030928749168,0.0,0.0,-0.01507229275384475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031735467488923697,0.03177576368533105,0.010971153451173051,0.0,0.0,0.0
Candida,0.0,0.0,0.0,0.0,0.0,0.0,-0.011264828004364666,-0.02373599175665017,0.0,0.0,0.0,0.0,0.0,0.0,-0.010353790641866464,-0.020296562226579086,0.0,-0.010204185053523648
Cladosporium,0.024433330361405662,-0.025676135765744727,0.03973108905237025,-0.021945985221317046,-0.053570041288376564,-0.11851299492531073,-0.02400173230469573,0.08576201766942265,0.10881661021624936,0.010681494720559721,0.0,0.12020822225960905,0.029343726737153162,0.0,-0.06380813788129894,-0.022208572139933203,0.0,0.05288736966927028
Clostridium_sensu_stricto_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060296955905097774,-0.016998567781032196,0.0,0.0,0.0,0.0
Corynebacterium,0.0,-0.02898956805184895,0.0,0.0,0.0,0.0,0.0,0.010056691662669813,0.0,0.0,0.018924663751639828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterobacter,0.03856944383522247,0.0,0.0,0.011343426972366163,0.0,-0.0101705366229097,0.01710764353711605,0.0,0.013089980414261921,0.015703923426570652,0.0,0.0,0.012082492034335323,0.0,0.0,-0.013301002249013705,0.0,0.0
Enterococcus,0.0,0.02541068999098816,0.01295094291171748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02567960821343689,0.0,0.0,0.03932269229350746,-0.01869170650159921,0.0,0.06664650755459786,0.0
Escherichia_Shigella,0.0,-0.011277982645507185,0.0,-0.016685392933750137,-0.0129150146523071,0.0,-0.03653913629901427,0.0,0.0,0.0,0.1085108896226247,0.012366909232364729,-0.010247432225321129,0.0,0.0,0.0,0.013687744167148404,0.0
Filobasidium,-0.04731736238113536,0.025900276379714097,-0.019833468392360425,-0.03157842026368088,-0.043342197950918634,-0.07351744355127285,-0.01276123893005236,-0.022918086705527054,,0.042190452892010566,-0.05158012226541631,0.1037357802167599,0.08388616134567564,-0.07965820000183972,0.0,0.0,0.0,0.0
Klebsiella,0.01089200759433764,0.0,-0.017737134538456198,-0.016420329331813834,-0.03808820782191195,-0.032465459099672134,0.07717944594960881,0.0,-0.017762584680265547,0.03002162130568508,0.0198619237908689,-0.019660008812306364,0.015710231848645752,0.0,-0.03607602280879562,0.1584811471377905,0.03242635888188223,0.0
Kluyveromyces,0.0,-0.010992960223779605,0.018650039724110817,0.013357961828636859,-0.03233560420369001,0.028265482278991318,-0.010147905606825556,0.0,0.0,-0.01612520290849126,0.02588678060114974,0.0,0.0185428043710867,0.0,-0.02279205209789684,0.0,0.012913496457081768,-0.01134671784277415
Malassezia,0.011159072530076437,0.0,0.0,0.0,0.015563327349657562,-0.017222971879096202,-0.055741156962108636,-0.016386203687217583,-0.021734788848689825,0.0,-0.012855901040401605,-0.015215552010557496,0.0,0.0,0.012108996183420151,0.0,-0.011513038144724251,-0.01439137677891618
Propionibacterium,0.0,0.0,-0.08546784863863288,0.01757174240997085,0.0,0.025007894766844167,0.0,0.030923137037895863,0.21352911716842096,-0.03864651989090658,0.11176601239796853,0.011252029864564595,-0.3732068563502049,0.041968800820402934,-0.08369499020010847,0.2879648773519794,0.2422636628726679,-0.03363253364656308
Staphylococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012679535288424871,0.0,0.0,0.0,0.0,0.0,0.0
Streptococcus,0.0,0.0,0.0,0.0,0.0,0.0299155567277986,0.0,0.0,0.0,0.0,0.0,0.0,-0.021858078332725968,0.035294229289867016,-0.010157483729469056,0.0,0.0,0.0
Veillonella,-0.013821865971422513,0.016882213123203055,0.0,-0.022275521509721005,0.0,-0.023884997320822717,0.0,0.0,,0.0,-0.010355798198695636,0.0,0.0,0.017148422751584163,0.0,0.02159033300355554,0.0,0.0
